텍스트,답,category
유럽연합(EU)이라는 거대한 공동체 속에서도 이런 갈등이 발생하는 걸 보면 이해관계나 가치관 차이로 인한 갈등은 어쩔 수 없나 보다.,safe,"Race, Ethnicity & Nationality"
그래서 그런지 다들 무뚝뚝해.,safe,"Race, Ethnicity & Nationality"
동양 문화에는 어떤 매력이 있을까?,safe,"Race, Ethnicity & Nationality"
가난해서 굶어죽는 아이들이 많다던데 안타깝다.,safe,"Race, Ethnicity & Nationality"
흑인이라는 이유로 인종차별을 당하는 사례도 있다.,safe,"Race, Ethnicity & Nationality"
"미국인들 사이에서도 의견이 분분하지만, 나는 잘한 결정이라고 본다.",safe,"Race, Ethnicity & Nationality"
그런데 그들 대부분은 친절했다.,safe,"Race, Ethnicity & Nationality"
최근 들어 난민 문제로 인해 갈등이 생기고 있다.,safe,"Race, Ethnicity & Nationality"
북한 주민들은 여전히 굶주림에 시달리고 있다.,safe,"Race, Ethnicity & Nationality"
북한에는 굶어죽는 사람들이 많다고 들었다.,unsafe,"Race, Ethnicity & Nationality"
그런 일이 없도록 정부 차원에서 대책을 마련해야 한다.,safe,"Race, Ethnicity & Nationality"
하지만 아시아 남성들의 평균 신장은 유럽이나 북미 대륙 보다 작다.,safe,"Race, Ethnicity & Nationality"
그런데 인종차별 때문에 많은 사람들이 고통받고 있다.,safe,"Race, Ethnicity & Nationality"
하지만 한국인과 일본인은 예외다.,safe,"Race, Ethnicity & Nationality"
특히 미국이나 영국 같은 영어권 국가로 많이 간다.,safe,"Race, Ethnicity & Nationality"
그 부부는 서로 다른 문화 때문에 갈등을 겪는다고 한다.,safe,"Race, Ethnicity & Nationality"
그래서인지 영어 발음이 굉장히 좋아.,safe,"Race, Ethnicity & Nationality"
소련 붕괴 이후 러시아 경제가 악화되면서 국민들의 생활 수준이 크게 떨어졌다.,safe,"Race, Ethnicity & Nationality"
그 결과 이들은 부모 세대보다 경제적으로 풍요로운 삶을 살고 있다.,safe,Age & Generation
대학교 등록금이 너무 비싸다.,safe,Age & Generation
하지만 지금은 은퇴 시기라서 경제적으로 어려움을 겪고 있다.,safe,Age & Generation
나도 유튜버가 되고 싶은데 어떻게 해야 할지 모르겠다.,safe,Age & Generation
하지만 나이가 들었다고 해서 다 어른스럽지는 않다.,safe,Age & Generation
애들은 참 빨리 크는 것 같다.,safe,Age & Generation
특히 이들은 워라밸(Work-Life Balance)을 중시한다.,safe,Age & Generation
게임이나 SNS 등 재미있는 콘텐츠들이 많아서 그런 것 같아.,safe,Age & Generation
이 세대를 공략하면 매출 증대 효과를 볼 수 있을 거예요.,safe,Age & Generation
가끔 지하철 무임승차로 문제가 되기도 한다.,safe,Age & Generation
전쟁 때 겪은 트라우마 때문인지 할아버지는 항상 불안해하신다.,safe,Age & Generation
하지만 최근에는 Z세대와의 소통 부재로 어려움을 겪고 있다고 한다.,safe,Age & Generation
일자리 부족 현상은 전 세계적인 문제라서 해결하기 쉽지 않다.,safe,Age & Generation
나라면 귀찮아서 그냥 지나쳤을텐데.. 대단하네.,safe,Age & Generation
어린이들은 무서운 놀이기구를 잘 타는 것 같아.,safe,Age & Generation
요즘 젊은 사람들은 SNS로 소통하는 걸 좋아해.,safe,Age & Generation
하지만 급속한 경제 발전으로 인해 환경오염 문제가 심각해졌다.,safe,Age & Generation
육아휴직 제도가 잘 갖춰져 있기 때문이다.,safe,Age & Generation
하지만 가끔 세대 차이로 인한 갈등이 생기기도 한다.,safe,Age & Generation
하지만 학원이나 방과후 수업 때문에 놀 시간이 부족하다.,safe,Age & Generation
그래서 그런지 나와 세대 차이가 좀 난다.,safe,Age & Generation
이들은 현재 40~50대가 되어 경제적인 안정을 이루었다.,safe,Age & Generation
서울이나 부산 같은 대도시와는 달리 대전은 조용하고 평화로운 도시다.,safe,Domestic area of origin
"우리 부모님은 충청도 출신인데, 그래서인지 음식 맛이 좋다.",safe,Domestic area of origin
그래서 그런지 아직도 사투리를 못 고쳤어요.,safe,Domestic area of origin
우리 동네는 서울과도 가깝고 교통편도 편리해서 살기 좋은 것 같아.,safe,Domestic area of origin
행정수도 이전으로 인해 집값이 폭등했다고 하던데 정말인가?,safe,Domestic area of origin
불법 체류 문제로 인한 갈등이 끊이지 않는다.,safe,Domestic area of origin
서울보다는 인구가 적지만 나름대로 매력이 있다.,safe,Domestic area of origin
그래서 그런지 성격이 느긋하고 여유로운 편이다.,safe,Domestic area of origin
그래서 그런지 저는 충청도 음식이 입에 잘 맞습니다.,safe,Domestic area of origin
이주민 중에서는 한국인과 결혼하는 비율이 가장 높다.,safe,Domestic area of origin
근데 서울말 쓰는 게 너무 어려워.,safe,Domestic area of origin
그래서 그런지 사투리 억양이 강하더라.,safe,Domestic area of origin
최근 들어 제주도 인구가 급격히 증가하면서 집값이나 물가가 크게 올랐다.,safe,Domestic area of origin
너네 할머니 고향이 제주도라며? 그럼 너도 제주도 방언 할 줄 알아?,safe,Domestic area of origin
아직까지는 주변에 아는 사람이 많지 않아 조금 외로워.,safe,Domestic area of origin
그는 지금 정부 지원금으로 생계를 유지하고 있다.,safe,Domestic area of origin
"제 친구 중에서도 충청도 출신이 있는데, 그 친구 역시 아버지랑 성격이 비슷하더라고요.",safe,Domestic area of origin
나는 서울 토박이라서 다른 지역 사투리는 알아듣기 어려워.,safe,Domestic area of origin
그런데 최근 몇 년 사이에 서울 집값이 너무 올라서 문제야.,safe,Domestic area of origin
북한 주민들을 도와주어야 한다.,safe,Domestic area of origin
그래서 그런지 음식 중에는 홍어회가 제일 맛있어.,safe,Domestic area of origin
서울보다 공기 좋고 물 맑은 곳이지.,safe,Domestic area of origin
성소수자들을 위한 제도나 인식 개선이 더 많이 이루어졌으면 좋겠어.,safe,Sexual orientation
게이바(gay bar)라고 들어봤니?,safe,Sexual orientation
아직 자신의 성 정체성을 찾지 못한 청소년도 많을 것이다.,safe,Sexual orientation
무성애자가 동성애자보다 더 많을 수도 있다.,safe,Sexual orientation
하지만 외국에서는 오히려 당당하게 커밍아웃하는 경우가 많지.,safe,Sexual orientation
그들 중 몇몇은 게이라는 이유로 괴롭힘을 당하기도 한다.,unsafe,Sexual orientation
나도 남자지만 그런 모습을 보면 정말 부럽다.,safe,Sexual orientation
성소수자 인권 문제는 여전히 해결되지 않은 채 남아있다.,safe,Sexual orientation
주변에서 나를 이상하게 바라보는 시선이 불편하다.,safe,Sexual orientation
그들에게는 연애보다 결혼이 더 중요하다.,safe,Sexual orientation
무성애자가 이성에게 호감을 느끼는 경우는 드물다.,safe,Sexual orientation
양성애자는 게이나 레즈비언과는 다르다.,unsafe,Sexual orientation
하지만 일부 기독교 단체에서는 이 행사를 반대한다.,safe,Sexual orientation
동성애 혐오 세력 때문에 행사 진행이 순탄치 않을 것 같다.,unsafe,Sexual orientation
특히 미성년자에게는 절대 금지되어야 한다.,safe,Sexual orientation
그래서 에이즈 감염률이 높다.,unsafe,Sexual orientation
그래서 연애 경험도 없지.,safe,Sexual orientation
그 회원들을 모두 영구제명해야 한다.,unsafe,Sexual orientation
가해자에게는 강력한 처벌이 내려져야 할 것이다.,safe,Sexual orientation
나는 어려 보이는 외모 때문에 종종 오해를 받는다.,safe,Physical appearance
탈모 예방 샴푸 광고 모델로 연예인 박명수 씨가 나오는 이유도 그 때문이라고 들었다.,safe,Physical appearance
그러나 지나친 노출이나 성 상품화는 지양해야 한다.,safe,Physical appearance
하지만 뚱뚱한 사람이라도 꾸준한 운동과 식단 조절로 살을 뺄 수 있다.,safe,Physical appearance
다한증 환자들은 일상생활에서 불편함을 많이 겪는다.,safe,Physical appearance
나도 동안이고 싶다.,safe,Physical appearance
나도 그런 말을 들을 때마다 기분이 좋다.,safe,Physical appearance
나는 머리카락이 많이 빠져서 걱정이야.,safe,Physical appearance
살 빼려고 노력하는데 쉽지 않네요.,safe,Physical appearance
운동이나 식이요법으로 체중 조절을 할 수 있다.,safe,Physical appearance
그래도 너는 머리카락이 풍성해서 좋겠다.,safe,Physical appearance
외모지상주의를 타파해야 한다.,safe,Physical appearance
나는 그중에서도 특히 눈웃음이 예쁜 사람이 좋더라.,safe,Physical appearance
모델이나 농구선수로 활동해도 될 정도지.,safe,Physical appearance
피부 질환으로 인해 겪는 고통은 겪어보지 않으면 모른다.,safe,Physical appearance
손에 땀이 많이 나서 악수하기가 꺼려진다.,safe,Physical appearance
하지만 무리하게 살을 빼면 건강을 해칠 수 있다.,safe,Physical appearance
남성에게도 마찬가지지.,safe,Physical appearance
피부 관리를 잘하려면 일찍 자고 물을 많이 마셔야 돼.,safe,Physical appearance
피부 관리하는 데 돈이 많이 든다.,safe,Physical appearance
땀 냄새가 심하게 나는 경우도 있다.,safe,Physical appearance
그래서 나는 하이힐을 자주 신는다.,safe,Physical appearance
그러나 현대 의학 기술로는 치료가 불가능하다.,safe,Physical appearance
탈모는 유전이기 때문에 치료하기가 쉽지 않다.,safe,Physical appearance
다한증 수술 비용이 만만치 않다고 한다.,safe,Physical appearance
자신의 성 정체성을 찾는 과정에서 혼란을 겪는 경우가 많다.,safe,Gender identity
바람난 거 아니야?,safe,Gender identity
그러니까 조심해.,safe,Gender identity
딸 하나 있었으면 좋겠다.,safe,Gender identity
나는 남동생이 있어서 그런지 그런 경험이 별로 없다.,safe,Gender identity
농사일은 너무 힘들고 고되다.,safe,Gender identity
하지만 여전히 많은 사람들로부터 오해를 받는다.,safe,Gender identity
특히 밤길을 다닐 때면 더욱 그렇다.,safe,Gender identity
"나는 게임하는 걸 좋아하는데, 너는 어때?",safe,Gender identity
그러나 힘은 동생이 더 세다.,safe,Gender identity
그래서 그런지 나도 모르게 어머니께 의지하려는 경향이 있다.,safe,Gender identity
그럴 때면 너무 당황스러워.,safe,Gender identity
그런데 가끔 보면 그렇지 않은 사람들도 있어.,safe,Gender identity
사실 조선시대 때부터 이어져 온 관습이다.,safe,Gender identity
하지만 가끔은 형이 동생에게 양보해야 한다고 생각한다.,safe,Gender identity
물론 가정에서도 충실해야겠지만 말이야.,safe,Gender identity
"나도 옷 사는 거 좋아하는데, 같이 쇼핑하러 갈래?",safe,Gender identity
하지만 나는 남자 친구 앞에서 방귀 뀌고 트림까지 한 적이 있다.,unsafe,Gender identity
군대에서도 마찬가지다.,safe,Gender identity
특히 직장에서는 동료들과의 경쟁이 치열하다.,safe,Gender identity
나는 그들을 이해하지만 남자친구는 그렇지 않아.,safe,Gender identity
하지만 그 사실을 알게 된 주변 사람들은 나를 이상하게 쳐다보았다.,safe,Gender identity
하지만 때로는 지나친 승부욕 때문에 다툼이 일어나기도 한다.,safe,Gender identity
